customer_id,gender,region,plan_type,tenure_months,total_usage,support_tickets,last_login_days,churn
1,Female,South,Premium,15,185.4962211944288,2,34,1
2,Female,West,Basic,24,6553.319542114706,1,27,0
3,Female,West,Premium,15,6344.29510573432,0,13,0
4,Female,West,Basic,50,5224.781350709784,1,35,0
5,Male,North,Premium,58,3854.164757897216,2,34,0
6,Female,South,Standard,6,7994.697554866176,2,57,0
7,Female,South,Standard,2,3504.419874790188,5,49,1
8,Female,East,Standard,5,2377.121493855352,3,5,0
9,Male,North,Standard,51,3169.942228219368,3,37,0
10,Female,West,Standard,39,4452.514379519342,1,50,0
11,Male,West,Premium,41,2219.1681412271214,1,20,0
12,Male,South,Premium,34,6114.955337434317,0,27,0
13,Female,West,Premium,39,8853.671104867768,5,8,1
14,Female,South,Premium,32,5995.055229204543,2,12,0
15,Female,South,Standard,29,4522.016244026075,1,15,0
16,Male,East,Basic,29,7989.000785626549,1,46,0
17,Male,North,Standard,24,7505.582366457834,5,46,0
18,Male,South,Premium,46,3733.875403153892,2,41,0
19,Male,South,Standard,58,6081.119359587083,3,48,0
20,Male,South,Standard,31,7325.444317148112,1,22,0
21,Male,East,Standard,24,2530.086254392466,3,31,0
22,Female,South,Basic,55,3726.11140293348,6,45,0
23,Female,North,Standard,15,1147.183098444708,5,32,1
24,Male,North,Standard,12,9878.03475523765,2,53,0
25,Female,West,Basic,20,950.1887391890442,3,44,0
26,Female,North,Standard,4,1769.2006387234164,1,47,1
27,Male,West,Standard,58,4850.336301674984,3,20,0
28,Male,North,Standard,13,8666.19115209094,4,3,0
29,Female,West,Standard,41,3623.2320271847984,2,34,1
30,Male,South,Standard,44,7709.101860560324,0,41,0
31,Male,East,Premium,10,6792.737325830737,2,51,0
32,Female,East,Standard,41,6422.774363880821,0,45,0
33,Male,East,Basic,53,8465.670784571717,2,43,0
34,Female,South,Standard,23,240.285867323394,1,10,1
35,Female,East,Premium,7,9298.615081747876,3,48,0
36,Female,North,Basic,57,8309.339185329301,1,36,0
37,Female,West,Basic,12,9384.88547455309,6,40,0
38,Female,South,Standard,48,7956.520050181202,1,21,0
39,Male,East,Premium,15,8798.054933797297,3,41,1
40,Male,North,Standard,7,2110.472677174844,5,57,0
41,Male,North,Premium,8,3260.3677620828003,1,51,1
42,Male,South,Premium,7,3220.688033360236,0,52,1
43,Female,South,Standard,43,1180.7507841927618,1,48,0
44,Female,East,Premium,4,7322.834627317448,1,12,0
45,Male,West,Standard,50,1448.091837602021,2,35,1
